"","segment_id","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","baseMean","log2FoldChange","lfcSE","pvalue","padj","type","description","gene_members","gene_dist.to.feature","gene_feature.name","cgi_members","reg_members"
"1","chr3:189494463-189496404","TP63","chr3",189494463,189496404,1942,"*",0.000330934614761981,0.000330934614761981,4.74194883169309e-07,5.0535354821343,0.55,0,0.55,"M",5.99493585772749e-05,"",2.8,-134985,NA,NA,NA,NA,NA,NA,NA,"",-16272,"XR_924819.3","","enhD"
"2","chr3:189164799-189166636","TP63","chr3",189164799,189166636,1838,"*",0.000296326657288186,0.000296326657288186,3.82082751299532e-07,4.46832773437882,0.55,0,0.55,"M",5.99493585772519e-05,"",3.11,-464753,NA,NA,NA,NA,NA,NA,NA,"intron",-5335,"NM_198485.4","","enhD"
"3","chr3:155079184-155079306","MME","chr3",155079184,155079306,123,"*",0.000290042060907337,0.000290042060907337,3.66383978136015e-07,4.36205753636516,0.57,0.03,0.54,"M",5.99493585772749e-05,"MME",24.82,55060,NA,NA,NA,NA,NA,NA,NA,"prom,intron",-366,"NM_000902.5","shores","enhP"
"4","chr3:185977578-185977940","TRA2B","chr3",185977578,185977940,363,"*",0.000256053465553236,0.000256053465553236,2.86958376334705e-07,3.78732297274327,0.53,0,0.53,"M",5.99493585772749e-05,"",4.17,-39475,7655.01161085906,0.198895578318522,0.0634558891319298,0.00120450701270906,0.00548087574199457,"protein_coding","transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]","intron",17637,"NR_151491.1","","CTCF"
"5","chr3:112562963-112562985","ATG3","chr3",112562963,112562985,23,"*",0.000249268394033751,0.000249268394033751,2.72209847954045e-07,3.6725899254294,0.635,0.16,0.475,"M",5.99493585772791e-05,"SLC35A5",24.76,-917,1389.92272046498,0.319979518956448,0.0878546927089013,0.000103530804076044,0.000626557728647315,"protein_coding","autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962]","prom,intron",920,"NM_017945.5","shores","enhP"
"6","chr3:189063958-189064500","TP63","chr3",189063958,189064500,543,"*",0.000233109541739788,0.000233109541739788,2.38569482473434e-07,3.39934971573416,0.49,0,0.49,"M",5.99493585772838e-05,"",2.4525,-566889,NA,NA,NA,NA,NA,NA,NA,"exon,intron",-34965,"XR_007095668.1","",""
"7","chr3:189131354-189133289","TP63","chr3",189131354,189133289,1936,"*",0.000229837076863046,0.000229837076863046,2.3201117796768e-07,3.34401354625415,0.565,0,0.565,"M",5.99493585772749e-05,"",4.0325,-498100,NA,NA,NA,NA,NA,NA,NA,"exon,intron",10054,"XR_007095669.1","","enhD"
"8","chr2:53326651-53327581","CHAC2","chr2",53326651,53327581,931,"*",-0.000225546788438167,0.000225546788438167,2.29861749356036e-07,3.27146635741049,0.94,0.465,0.475,"M",6.87112448801166e-05,"",3.8125,-440223,NA,NA,NA,NA,NA,NA,NA,"",-117685,"NR_187750.1","",""
"9","chr3:5564648-5566618","EDEM1","chr3",5564648,5566618,1971,"*",0.000213090152304014,0.000213090152304014,1.99790766946031e-07,3.06082925228237,0.455,0,0.455,"M",5.99493585772749e-05,"",4.085,377002,NA,NA,NA,NA,NA,NA,NA,"",-117679,"XR_940571.3","",""
"10","chr3:189075046-189075226","TP63","chr3",189075046,189075226,181,"*",0.000206285146041654,0.000206285146041654,1.87339739783311e-07,2.94575911584703,0.65,0.17,0.48,"M",5.99493585772791e-05,"",2.54,-556163,NA,NA,NA,NA,NA,NA,NA,"intron",-24239,"XR_007095668.1","",""
